NAME,STAT,LEVEL,LAT,LON,TIME,WIND,PR
Jose,HURRICANE-3,5,23.70,-68.10,09/11 12:00 AM,100,962
Jose,HURRICANE-2,4,24.40,-68.60,09/11 6:00 AM,90,968
Jose,HURRICANE-2,4,25.50,-69.10,09/11 12:00 PM,90,968
Jose,HURRICANE-2,4,26.40,-69.20,09/11 6:00 PM,85,973
Jose,HURRICANE-1,3,27.10,-69.50,09/12 12:00 AM,75,982
Jose,HURRICANE-1,3,27.50,-69.00,09/12 6:00 AM,65,987
Jose,HURRICANE-1,3,27.50,-68.30,09/12 12:00 PM,65,987
Jose,HURRICANE-1,3,27.60,-67.40,09/12 6:00 PM,65,987
Jose,HURRICANE-1,3,26.50,-66.40,09/13 12:00 AM,65,985
Jose,HURRICANE-1,3,26.10,-66.00,09/13 6:00 AM,65,985
Jose,HURRICANE-1,3,25.50,-65.60,09/13 12:00 PM,65,985
Jose,HURRICANE-1,3,25.30,-65.60,09/13 6:00 PM,65,988
Jose,HURRICANE-1,3,25.20,-66.00,09/14 12:00 AM,70,985
Jose,HURRICANE-1,3,25.10,-66.50,09/14 6:00 AM,65,986
Jose,TROPICAL STORM,2,24.90,-66.60,09/14 12:00 PM,60,989
Jose,TROPICAL STORM,2,25.20,-67.30,09/14 6:00 PM,60,989
Jose,TROPICAL STORM,2,25.50,-68.00,09/15 12:00 AM,60,989
Jose,TROPICAL STORM,2,25.90,-68.70,09/15 6:00 AM,60,989
Jose,TROPICAL STORM,2,26.50,-69.40,09/15 12:00 PM,60,989
Jose,HURRICANE-1,3,27.10,-70.30,09/15 6:00 PM,65,983
Jose,HURRICANE-1,3,27.40,-71.00,09/16 12:00 AM,70,983
Jose,HURRICANE-1,3,27.90,-71.80,09/16 6:00 AM,70,983
Jose,HURRICANE-1,3,28.80,-72.20,09/16 12:00 PM,70,982
Jose,HURRICANE-1,3,28.90,-71.90,09/16 6:00 PM,70,973
Jose,HURRICANE-1,3,29.20,-71.80,09/17 12:00 AM,70,973
Jose,HURRICANE-1,3,30.00,-71.70,09/17 6:00 AM,70,973
Jose,HURRICANE-1,3,31.00,-71.90,09/17 12:00 PM,80,967
Jose,HURRICANE-1,3,31.50,-71.80,09/17 6:00 PM,80,967
Jose,HURRICANE-1,3,32.20,-71.60,09/18 12:00 AM,80,972
Jose,HURRICANE-1,3,33.00,-71.40,09/18 6:00 AM,75,974
Jose,HURRICANE-1,3,33.90,-71.10,09/18 12:00 PM,65,977
Jose,HURRICANE-1,3,34.80,-71.10,09/18 6:00 PM,65,977
Jose,HURRICANE-1,3,35.20,-71.30,09/19 12:00 AM,65,975
Jose,HURRICANE-1,3,36.00,-71.30,09/19 6:00 AM,65,971
Jose,HURRICANE-1,3,36.50,-71.70,09/19 12:00 PM,65,976
Jose,HURRICANE-1,3,37.20,-71.30,09/19 6:00 PM,65,976
Jose,TROPICAL STORM,2,37.90,-70.80,09/20 12:00 AM,60,973
Jose,TROPICAL STORM,2,38.40,-70.30,09/20 6:00 AM,55,975
Jose,TROPICAL STORM,2,39.00,-70.00,09/20 12:00 PM,60,976
Jose,TROPICAL STORM,2,39.20,-69.10,09/21 12:00 AM,60,976
Jose,TROPICAL STORM,2,39.50,-68.20,09/21 12:00 AM,50,982
Jose,TROPICAL STORM,2,39.80,-67.80,09/21 6:00 AM,50,982
Jose,TROPICAL STORM,2,39.60,-68.20,09/21 12:00 PM,50,984
Jose,TROPICAL STORM,2,39.60,-67.90,09/21 6:00 PM,45,987
Katia,TROPICAL DEPRESSION,1,22.40,-96.70,09/05 6:00 PM,30,1008
Katia,TROPICAL DEPRESSION,1,22.20,-96.40,09/06 12:00 AM,30,1008
Katia,TROPICAL STORM,2,22.10,-96.30,09/06 6:00 AM,35,1006
Katia,TROPICAL STORM,2,21.70,-95.90,09/06 12:00 PM,40,1004
Katia,HURRICANE-1,3,21.70,-95.10,09/06 6:00 PM,65,992
Katia,HURRICANE-1,3,21.70,-94.80,09/07 12:00 AM,70,989
Katia,HURRICANE-1,3,21.50,-94.50,09/07 6:00 AM,70,989
